"","X.1","site_code","year","block","plot","trt","Family","Taxon","num_leaves","leaf_pct_N","leaf_pct_C","leaf_N15_delta_air","leaf_C13_delta_PDB","leaf_N15_pct_atom","leaf_C13_pct_atom","leaf_area_mm2","leaf_dry_mass_g","SLA","leaf_ppm_P","leaf_ppm_B","leaf_ppm_Na","leaf_ppm_Ca","leaf_ppm_Fe","leaf_ppm_K","leaf_ppm_Mg","leaf_ppm_Mn","leaf_ppm_Cu","leaf_ppm_Zn","leaf_ppm_Sr","leaf_ppm_Pb","leaf_ppm_Mo","Ntrt","Ptrt","Ktrt","Ntrt_fac","Ptrt_fac","Ktrt_fac","Narea","Nfix","sum_INT_cover","sum_NAT_cover","sum_UNK_cover","total_cover","INT_rich","NAT_rich","UNK_rich","rich","site_year_rich","site_richness","site_native_richness","site_introduced_richness","plot_beta","dead_mass","live_mass","total_mass","unsorted_mass","proportion_par","Ambient_PAR","Ground_PAR","par_rat","site_name","continent","country","region","managed","burned","grazed","anthropogenic","habitat","elevation","latitude","longitude","experiment_type","N","P","K","Exclose","year_trt","first_nutrient_year","first_fenced_year","X","precip","PET","SPEI_12","SPEI_6","SPEI_24","SPEI_12.class","SPEI_6.class","SPEI_24.class","precip.mean","PET.mean","p_pet","tmp","par","vpd","z","provenance","lifespan","lifeform","functional_group","photosynthetic_pathway","n","la_m2","lma","narea","lai","par_per_leaf_area"
"11",6076,"bldr.us",2011,1,8,"NP","Poaceae","BUCHLOE DACTYLOIDES",5,2.61141273272092,47.2495586719396,0.382225065704075,-15.977997655828,0.366432852568048,1.0881267850354,571.03,0.09,285.515,3428.838,18.91323,118.0683,4192.02,77.2254,17210.34,1687.392,59.8374,6.03855,34.8894,30.3534,0.262521,NA,1,1,0,"1","1","0",0.00914632412560083,"no",6,50.1,0.1,56.3,2,3,1,7,18,40,7,15,5.7143,67.5,354,421.5,NA,0.619187758,1699,1052,0.619187757504414,"Boulder South Campus","North America","US","Central plains (North America)",1,0,0,0,"shortgrass prairie",1633,39.972022,-105.233544,"Experimental (Full Factorial)",1,1,0,0,0,2009,2009,451,442.600001,1162.3000295127,0.011525499492678,0.820821130338253,0.636043491733868,0,1,0,448.573170878049,1166.52684974057,0.380796687397111,10.5985678854875,906.773360415002,0.675387221216074,2135,"NAT","PERENNIAL","GRASS","GRASS","C4",11,0.00057103,157.609932928217,4.11584585652037,0.557379916714275,395.691338638283
"12",6077,"bldr.us",2011,1,10,"Control","Poaceae","BUCHLOE DACTYLOIDES",5,1.79754720041757,47.7955290927089,0.761948721446759,-15.6671005314396,0.366571432762281,1.0884668315521,240.693,0.05,120.3465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,"0","0","0",0.0149364310587975,"no",5.2,45,1,51.2,3,2,1,6,18,40,7,15,6.6667,35.5,138.5,174,NA,0.592818832,1678,994.75,0.592818831942789,"Boulder South Campus","North America","US","Central plains (North America)",1,0,0,0,"shortgrass prairie",1633,39.972022,-105.233544,"Experimental (Full Factorial)",0,0,0,0,0,2009,2009,451,442.600001,1162.3000295127,0.011525499492678,0.820821130338253,0.636043491733868,0,1,0,448.573170878049,1166.52684974057,0.380796687397111,10.5985678854875,906.773360415002,0.675387221216074,2135,"NAT","PERENNIAL","GRASS","GRASS","C4",12,0.000240693,207.733502843872,3.73410776469937,0.607984229907109,390.956698617073
"13",6078,"bldr.us",2011,2,11,"N","Poaceae","BUCHLOE DACTYLOIDES",5,2.4494647630899,47.3160269740091,-0.267237001521093,-15.7885746004939,0.366195830414284,1.08833396847847,629.071,0.07,314.5355,1925.05146,23.326788,203.69538,3385.4598,193.04928,10977.312,1666.46952,31.536114,5.9145,24.864558,25.31406,0.47339658,0.44193144,1,0,0,"1","0","0",0.00778756217689227,"no",21.1,36,0.1,57.2,6,3,1,10,18,40,7,15,4,34.5,161,195.5,NA,0.577690972,1728,998.25,0.577690972222222,"Boulder South Campus","North America","US","Central plains (North America)",1,0,0,0,"shortgrass prairie",1633,39.972022,-105.233544,"Experimental (Full Factorial)",1,0,0,0,0,2009,2009,451,442.600001,1162.3000295127,0.011525499492678,0.820821130338253,0.636043491733868,0,1,0,448.573170878049,1166.52684974057,0.380796687397111,10.5985678854875,906.773360415002,0.675387221216074,2135,"NAT","PERENNIAL","GRASS","GRASS","C4",13,0.000629071,111.275197871147,2.7256467619123,0.638042097000779,388.181046817226
"14",6079,"bldr.us",2011,2,12,"Control","Poaceae","BUCHLOE DACTYLOIDES",5,2.19295782361767,47.4693414652433,0.319581727845696,-15.6431987690803,0.366409990837252,1.08849297422215,473.355,0.06,236.6775,1609.911135,19.4005803,152.328021,3140.07435,130.5160155,10727.994,1278.34017,21.48684285,5.9716002,26.819985,25.4196495,0.367647405,0.20459139,0,0,0,"0","0","0",0.00926559484369097,"no",8,40.1,0,48.1,3,3,0,6,18,40,7,15,6.6667,10,52,62,NA,0.750286041,1748,1311.5,0.750286041189931,"Boulder South Campus","North America","US","Central plains (North America)",1,0,0,0,"shortgrass prairie",1633,39.972022,-105.233544,"Experimental (Full Factorial)",0,0,0,0,0,2009,2009,451,442.600001,1162.3000295127,0.011525499492678,0.820821130338253,0.636043491733868,0,1,0,448.573170878049,1166.52684974057,0.380796687397111,10.5985678854875,906.773360415002,0.675387221216074,2135,"NAT","PERENNIAL","GRASS","GRASS","C4",14,0.000473355,126.754761225719,2.77967845310729,0.334070647568084,417.544013923576
"15",60710,"bldr.us",2011,2,13,"K","Poaceae","BUCHLOE DACTYLOIDES",5,2.24599376956099,45.4512046468151,1.74552277647824,-17.6634905252826,0.366930386440505,1.08628322140223,361.441,0.04,180.7205,3692.89375,28.7023065,48.678021,7549.4111,89.5157445,20777.92465,2281.6402,44.5192545,8.7947685,60.8816145,38.1106635,0.2817962,0.22543696,0,0,1,"0","0","1",0.0124279966553932,"no",3.2,43.1,0.1,46.4,3,3,1,7,18,40,7,15,5.7143,136.5,166.5,303,NA,0.65432417,1746,1142.45,0.654324169530355,"Boulder South Campus","North America","US","Central plains (North America)",1,0,0,0,"shortgrass prairie",1633,39.972022,-105.233544,"Experimental (Full Factorial)",0,0,1,0,0,2009,2009,451,442.600001,1162.3000295127,0.011525499492678,0.820821130338253,0.636043491733868,0,1,0,448.573170878049,1166.52684974057,0.380796687397111,10.5985678854875,906.773360415002,0.675387221216074,2135,"NAT","PERENNIAL","GRASS","GRASS","C4",15,0.000361441,110.668131174936,2.48559933107864,0.493200439843016,401.809375885163
"16",60711,"bldr.us",2011,2,14,"P","Poaceae","BUCHLOE DACTYLOIDES",5,1.89137776847356,46.2984755043314,1.88444442644041,-15.1735454900913,0.366981085451884,1.08900665700076,541.638,0.06,270.819,6493.2945,28.820505,102.688964,6120.5956,110.513326,10609.1867,2160.26468,52.895465,5.0048138,46.784129,38.311595,0.31760428,0.22246189,0,1,0,"0","1","0",0.00698391829403978,"no",6.1,43.1,0.1,49.3,4,3,1,8,18,40,7,15,5,107.5,174,281.5,NA,0.810826211,1755,1423,0.810826210826211,"Boulder South Campus","North America","US","Central plains (North America)",1,0,0,0,"shortgrass prairie",1633,39.972022,-105.233544,"Experimental (Full Factorial)",0,1,0,0,0,2009,2009,451,442.600001,1162.3000295127,0.011525499492678,0.820821130338253,0.636043491733868,0,1,0,448.573170878049,1166.52684974057,0.380796687397111,10.5985678854875,906.773360415002,0.675387221216074,2135,"NAT","PERENNIAL","GRASS","GRASS","C4",16,0.000541638,110.775093328016,2.09517548821194,0.243838997453621,426.838141867851
"17",60712,"bldr.us",2011,2,15,"NPK+Fence","Poaceae","BUCHLOE DACTYLOIDES",5,2.05032117157004,45.7876887053975,0.618569473852974,-16.0351881540561,0.366519106533776,1.0880642321607,435.284,0.08,217.642,1297.86086,30.380338,141.668072,3626.4096,70.490626,10847.1772,1479.86816,121.544246,4.6268774,29.373002,22.619272,0.47436368,0.141874118,1,1,1,"1","1","1",0.00942061353769052,"no",33,22,0.1,55.1,4,3,1,8,18,40,7,15,5,204,317.5,521.5,NA,0.368507042,1775,654.1,0.368507042253521,"Boulder South Campus","North America","US","Central plains (North America)",1,0,0,0,"shortgrass prairie",1633,39.972022,-105.233544,"Experimental (Full Factorial)",1,1,1,1,0,2009,2009,451,442.600001,1162.3000295127,0.011525499492678,0.820821130338253,0.636043491733868,0,1,0,448.573170878049,1166.52684974057,0.380796687397111,10.5985678854875,906.773360415002,0.675387221216074,2135,"NAT","PERENNIAL","GRASS","GRASS","C4",17,0.000435284,183.788055614266,3.76824541507621,1.1608086708632,343.965105595723
"18",60713,"bldr.us",2011,2,16,"PK","Poaceae","BUCHLOE DACTYLOIDES",5,1.6842469587719,45.7246421844507,2.3623268128865,-15.5933731647807,0.367155486704794,1.08854747117731,483.049,0.05,241.5245,5299.5275,27.4578625,1366.72025,5123.48625,196.846125,11140.89625,2510.3025,37.3801875,5.6836175,41.015325,37.95175,0.34248025,0.283495,0,1,1,"0","1","1",0.00697340004335751,"no",0.4,37.1,9,46.5,4,3,1,8,18,40,7,15,5,47.5,228.5,276,NA,0.837785198,1797,1505.5,0.837785197551475,"Boulder South Campus","North America","US","Central plains (North America)",1,0,0,0,"shortgrass prairie",1633,39.972022,-105.233544,"Experimental (Full Factorial)",0,1,1,0,0,2009,2009,451,442.600001,1162.3000295127,0.011525499492678,0.820821130338253,0.636043491733868,0,1,0,448.573170878049,1166.52684974057,0.380796687397111,10.5985678854875,906.773360415002,0.675387221216074,2135,"NAT","PERENNIAL","GRASS","GRASS","C4",18,0.000483049,103.509167806993,1.74335001083938,0.205806440536943,430.839194712276
"19",60714,"bldr.us",2011,2,17,"NPK","Poaceae","BUCHLOE DACTYLOIDES",5,2.52148844229381,43.5186510276488,-0.557772900440029,-15.5974365990645,0.366089798537921,1.08854302678196,599.482,0.08,299.741,3359.6668,27.678084,176.68714,4438.938,78.76939,12890.3278,1771.876085,27.56275865,7.1240603,29.7887555,30.3545025,0.19365955,1.317972915,1,1,1,"1","1","1",0.0084122240277233,"no",6.1,55,1,62.1,3,3,1,7,18,40,7,15,5.7143,103,135,238,NA,0.469799778,1798,844.7,0.46979977753059,"Boulder South Campus","North America","US","Central plains (North America)",1,0,0,0,"shortgrass prairie",1633,39.972022,-105.233544,"Experimental (Full Factorial)",1,1,1,0,0,2009,2009,451,442.600001,1162.3000295127,0.011525499492678,0.820821130338253,0.636043491733868,0,1,0,448.573170878049,1166.52684974057,0.380796687397111,10.5985678854875,906.773360415002,0.675387221216074,2135,"NAT","PERENNIAL","GRASS","GRASS","C4",19,0.000599482,133.448543909575,3.36488961108932,0.878428698021063,366.927099239302
"20",60715,"bldr.us",2011,2,18,"NK","Poaceae","BUCHLOE DACTYLOIDES",5,2.65693031801424,46.9347829871568,-1.41554529323537,-16.1322246584241,0.365776750824373,1.0879580970012,331.034,0.03,165.517,1932.31395,32.657373,161.691075,7910.89425,166.7365875,13843.47825,2875.472775,33.389559,6.251742,36.8205075,48.06144,0.2572038,0.2487555,1,0,1,"1","0","1",0.0160523107476225,"no",5.1,47.1,1,53.2,3,3,1,7,18,40,7,15,5.7143,113.5,117,230.5,NA,0.691513121,1791,1238.5,0.691513121161362,"Boulder South Campus","North America","US","Central plains (North America)",1,0,0,0,"shortgrass prairie",1633,39.972022,-105.233544,"Experimental (Full Factorial)",1,0,1,0,0,2009,2009,451,442.600001,1162.3000295127,0.011525499492678,0.820821130338253,0.636043491733868,0,1,0,448.573170878049,1166.52684974057,0.380796687397111,10.5985678854875,906.773360415002,0.675387221216074,2135,"NAT","PERENNIAL","GRASS","GRASS","C4",20,0.000331034,90.6251321616511,2.40784661214338,0.428922271082904,408.066624911954
"21",60716,"bldr.us",2011,2,19,"Fence","Poaceae","BUCHLOE DACTYLOIDES",5,1.88139172009018,47.8444253279623,1.08092226386786,-15.6494214202932,0.366687841897365,1.08848616816814,186.602,0.09,93.301,1621.9116,20.6135874,137.120904,3516.534,90.807912,9843.903,1179.11538,16.1664876,3.8610108,34.734744,24.149259,0.59398326,0.10717056,0,0,0,"0","0","0",0.0201647540764856,"no",0.3,46.1,0.1,46.5,3,3,1,7,18,40,7,15,5.7143,38,95,133,NA,0.801006149,1789,1433,0.801006148686417,"Boulder South Campus","North America","US","Central plains (North America)",1,0,0,0,"shortgrass prairie",1633,39.972022,-105.233544,"Experimental (Full Factorial)",0,0,0,1,0,2009,2009,451,442.600001,1162.3000295127,0.011525499492678,0.820821130338253,0.636043491733868,0,1,0,448.573170878049,1166.52684974057,0.380796687397111,10.5985678854875,906.773360415002,0.675387221216074,2135,"NAT","PERENNIAL","GRASS","GRASS","C4",21,0.000186602,482.309943087427,9.07413933441851,0.258007739163427,425.360372844656
"22",612,"bldr.us",2011,1,6,"K","Poaceae","ELYMUS SMITHII",5,2.2438234522584,49.5336330122279,0.439630825960759,-27.7949376202773,0.366453802831953,1.07520016745125,642.931,0.19,321.4655,2624.113184,14.91567808,511.983424,4773.09624,100.8314104,22880.74528,1802.641328,45.4523984,4.49966856,32.8707624,32.2565408,0.291854328,NA,0,0,1,"0","0","1",0.00697998215129897,"no",0.5,26,0.1,27.6,5,3,1,10,18,40,7,15,4,27.5,59,86.5,NA,0.900287356,1740,1566.5,0.900287356321839,"Boulder South Campus","North America","US","Central plains (North America)",1,0,0,0,"shortgrass prairie",1633,39.972022,-105.233544,"Experimental (Full Factorial)",0,0,1,0,0,2009,2009,451,442.600001,1162.3000295127,0.011525499492678,0.820821130338253,0.636043491733868,0,1,0,448.573170878049,1166.52684974057,0.380796687397111,10.5985678854875,906.773360415002,0.675387221216074,2135,"NAT","PERENNIAL","GRASS","GRASS","C3",22,0.000642931,295.521603406897,6.63098304373402,0.122141025367824,439.819976648197
"23",6121,"bldr.us",2011,1,8,"NP","Poaceae","ELYMUS SMITHII",5,3.07460626075218,44.6381513861128,1.1797235106395,-15.9487810352174,0.366723899276902,1.08815874107563,1259.284,0.33,629.642,2537.22392,15.19120416,7088.5144,4672.70584,72.9027816,22115.45072,2458.66104,34.6033776,6.7671208,23.2831808,29.0504104,0.25979316,NA,1,1,0,"1","1","0",0.00488310224024474,"no",6,50.1,0.1,56.3,2,3,1,7,18,40,7,15,5.7143,67.5,354,421.5,NA,0.619187758,1699,1052,0.619187757504414,"Boulder South Campus","North America","US","Central plains (North America)",1,0,0,0,"shortgrass prairie",1633,39.972022,-105.233544,"Experimental (Full Factorial)",1,1,0,0,0,2009,2009,451,442.600001,1162.3000295127,0.011525499492678,0.820821130338253,0.636043491733868,0,1,0,448.573170878049,1166.52684974057,0.380796687397111,10.5985678854875,906.773360415002,0.675387221216074,2135,"NAT","PERENNIAL","GRASS","GRASS","C3",23,0.001259284,262.053674945445,8.05711869640383,0.557379916714275,395.691338638283
"24",6122,"bldr.us",2011,2,17,"NPK","Poaceae","ELYMUS SMITHII",5,3.39861709397509,48.6504222555944,2.10455803415307,-28.6920475724621,0.367061415102655,1.07421867580213,1176.972,0.25,588.486,1793.413765,14.632202,175.87713,8011.37285,50.243687,18195.77305,1626.257815,73.500167,5.0001432,35.659936,45.0352045,0.10901475,1.031279535,1,1,1,"1","1","1",0.00577518767477067,"no",6.1,55,1,62.1,3,3,1,7,18,40,7,15,5.7143,103,135,238,NA,0.469799778,1798,844.7,0.46979977753059,"Boulder South Campus","North America","US","Central plains (North America)",1,0,0,0,"shortgrass prairie",1633,39.972022,-105.233544,"Experimental (Full Factorial)",1,1,1,0,0,2009,2009,451,442.600001,1162.3000295127,0.011525499492678,0.820821130338253,0.636043491733868,0,1,0,448.573170878049,1166.52684974057,0.380796687397111,10.5985678854875,906.773360415002,0.675387221216074,2135,"NAT","PERENNIAL","GRASS","GRASS","C3",24,0.001176972,212.409471083424,7.21898459346333,0.878428698021063,366.927099239302
